Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
08/15/2021,5023,33,Cleburne County,AR,33.2,8272,8271,37.7,8107,40.1,4237,62.4,89.5,10373,41.6,10371,47.2,9990,49.4,4777,70.4,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
08/15/2021,13095,33,Dougherty County,GA,15.2,13402,13402,18.1,12517,18.6,2322,16,54.5,14829,16.9,,0,,0,,0,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
08/15/2021,5005,33,Baxter County,AR,36.2,15195,15193,40.8,14834,43,7782,59.6,89.5,18846,44.9,18841,50.6,18188,52.8,9235,70.7,Low-Mod,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
08/15/2021,4023,33,Santa Cruz County,AZ,80.7,37503,37502,97.6,34402,99.9,8593,100,97.5,42622,91.7,42618,99.9,38395,99.9,9301,99.9,High,High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
08/15/2021,9013,33,Tolland County,CT,57,85874,85863,63.7,80800,64.7,22474,91.5,98.4,92443,61.3,92407,68.5,86543,69.3,23615,96.1,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
08/15/2021,20071,33,Greeley County,KS,40.8,503,503,50,492,54.7,184,75.7,93.5,541,43.9,541,53.8,524,58.3,187,77,Mod-High,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
08/15/2021,41045,33,Malheur County,OR,33.5,10243,10234,40.6,9903,43.7,3795,73.8,97.7,11431,37.4,11416,45.3,10894,48.1,4030,78.4,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
08/15/2021,29229,33,Wright County,MO,26.7,4880,4880,32,4791,35.3,2233,62.3,90.9,6317,34.5,6317,41.4,6119,45,2559,71.3,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
08/15/2021,41035,33,Klamath County,OR,39.5,26986,26951,46.3,26003,48.6,10698,72.4,97.7,29900,43.8,29852,51.3,28696,53.6,11438,77.4,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
08/15/2021,8011,33,Bent County,CO,19.9,1110,1109,22.1,1070,22.7,370,35.1,97.4,1212,21.7,1210,24.1,1153,24.4,393,37.3,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
